#{"t_start": 1764790684.333374, "env_id": "None"}
r,l,t
-47.0,1,36.85782
-46.0,2,36.863852
-47.0,1,36.867066
-47.0,1,36.870134
244.0,96,37.131011
121.0,68,37.317099
-47.0,1,37.320084
18.0,19,37.378978
-24.0,13,37.414078
-46.0,1,37.416947
-47.0,1,37.420033
-45.0,2,37.43064
-46.0,2,37.43849
-46.0,1,37.441396
-46.0,2,37.447192
-6.0,13,37.482006
-47.0,1,37.485152
-47.0,1,37.487869
-47.0,1,37.491185
474.0,154,39.487504
14.0,19,39.575886
-45.0,2,39.585683
-46.0,2,39.595664
-47.0,1,39.604144
-3.0,14,39.668384
149.0,62,39.944587
-39.0,3,39.955915
60.0,36,40.102502
-47.0,1,40.107172
-11.0,21,40.200253
12.0,29,40.325998
-47.0,1,40.330688
-46.0,1,40.335605
626.0,174,41.118847
750.0,226,42.064394
132.0,51,42.312357
-47.0,1,42.317288
-47.0,1,42.321979
-36.0,6,42.348618
338.0,106,42.654308
-44.0,2,42.659844
360.0,133,43.041476
-46.0,1,43.044407
-47.0,1,43.047228
87.0,56,43.199975
3.0,15,43.248169
-47.0,1,43.251115
-47.0,1,43.254464
-47.0,1,43.25728
-46.0,1,43.260433
-47.0,1,43.263492
-46.0,2,43.268911
-47.0,1,43.271851
-40.0,4,43.28342
-47.0,1,43.286565
-45.0,2,43.292329
-47.0,1,43.295491
-46.0,2,43.301081
279.0,105,43.597771
-1.0,23,43.662406
-47.0,1,43.665257
544.0,158,44.131418
-47.0,1,44.134428
699.0,183,44.636701
-47.0,1,44.639571
-46.0,1,44.642413
-31.0,5,44.655302
-21.0,13,44.698376
-33.0,6,44.714062
86.0,35,44.813154
755.0,258,45.596495
-25.0,9,45.623158
106.0,46,45.750063
-40.0,7,45.770515
-47.0,1,45.773532
-31.0,5,45.787905
-26.0,10,45.82359
-38.0,5,45.837436
483.0,129,46.221664
-47.0,1,46.225376
-47.0,1,46.228285
32.0,17,46.274061
92.0,42,47.880587
-47.0,1,47.883625
-47.0,1,47.886583
-47.0,1,47.889425
263.0,85,48.155012
-47.0,1,48.158178
-44.0,4,48.17528
13.0,20,48.229948
-47.0,1,48.232806
231.0,93,48.508245
624.0,187,49.063069
-46.0,1,49.068797
-47.0,1,49.07333
-47.0,1,49.076628
450.0,164,49.528235
323.0,84,49.765767
20.0,18,49.822916
-47.0,1,49.826501
65.0,36,49.934038
552.0,157,50.389991
2.0,16,50.438332
-46.0,1,50.441916
-47.0,1,50.445428
-18.0,10,50.471792
-46.0,2,50.477172
-45.0,2,50.482397
518.0,156,50.91444
-47.0,1,50.917271
6.0,12,50.956359
-47.0,1,50.959238
-45.0,2,50.964803
-45.0,2,50.970239
-47.0,1,50.973156
-30.0,7,50.991504
467.0,145,51.423921
651.0,184,51.937846
-47.0,1,51.94064
